beta_commit,Omega,beta_observed
0.2,0.0,0.2
0.2,0.018367346938775512,0.19632653061224492
0.2,0.036734693877551024,0.1926530612244898
0.2,0.05510204081632654,0.1889795918367347
0.2,0.07346938775510205,0.1853061224489796
0.2,0.09183673469387756,0.1816326530612245
0.2,0.11020408163265308,0.1779591836734694
0.2,0.1285714285714286,0.1742857142857143
0.2,0.1469387755102041,0.1706122448979592
0.2,0.1653061224489796,0.16693877551020408
0.2,0.1836734693877551,0.163265306122449
0.2,0.20204081632653062,0.1595918367346939
0.2,0.22040816326530616,0.15591836734693879
0.2,0.23877551020408166,0.1522448979591837
0.2,0.2571428571428572,0.14857142857142858
0.2,0.2755102040816327,0.14489795918367349
0.2,0.2938775510204082,0.14122448979591837
0.2,0.3122448979591837,0.13755102040816328
0.2,0.3306122448979592,0.1338775510204082
0.2,0.3489795918367347,0.13020408163265307
0.2,0.3673469387755102,0.12653061224489798
0.2,0.38571428571428573,0.12285714285714287
0.2,0.40408163265306124,0.11918367346938777
0.2,0.42244897959183675,0.11551020408163266
0.2,0.4408163265306123,0.11183673469387755
0.2,0.4591836734693878,0.10816326530612244
0.2,0.47755102040816333,0.10448979591836734
0.2,0.49591836734693884,0.10081632653061223
0.2,0.5142857142857143,0.09714285714285714
0.2,0.5326530612244899,0.09346938775510204
0.2,0.5510204081632654,0.08979591836734693
0.2,0.5693877551020409,0.08612244897959183
0.2,0.5877551020408164,0.08244897959183672
0.2,0.6061224489795919,0.07877551020408163
0.2,0.6244897959183674,0.07510204081632653
0.2,0.6428571428571429,0.07142857142857142
0.2,0.6612244897959184,0.06775510204081632
0.2,0.6795918367346939,0.06408163265306122
0.2,0.6979591836734694,0.06040816326530612
0.2,0.7163265306122449,0.056734693877551014
0.2,0.7346938775510204,0.053061224489795916
0.2,0.753061224489796,0.04938775510204081
0.2,0.7714285714285715,0.04571428571428571
0.2,0.789795918367347,0.04204081632653061
0.2,0.8081632653061225,0.038367346938775505
0.2,0.826530612244898,0.0346938775510204
0.2,0.8448979591836735,0.031020408163265303
0.2,0.863265306122449,0.0273469387755102
0.2,0.8816326530612246,0.023673469387755077
0.2,0.9,0.019999999999999997
0.4,0.0,0.4
0.4,0.018367346938775512,0.39265306122448984
0.4,0.036734693877551024,0.3853061224489796
0.4,0.05510204081632654,0.3779591836734694
0.4,0.07346938775510205,0.3706122448979592
0.4,0.09183673469387756,0.363265306122449
0.4,0.11020408163265308,0.3559183673469388
0.4,0.1285714285714286,0.3485714285714286
0.4,0.1469387755102041,0.3412244897959184
0.4,0.1653061224489796,0.33387755102040817
0.4,0.1836734693877551,0.326530612244898
0.4,0.20204081632653062,0.3191836734693878
0.4,0.22040816326530616,0.31183673469387757
0.4,0.23877551020408166,0.3044897959183674
0.4,0.2571428571428572,0.29714285714285715
0.4,0.2755102040816327,0.28979591836734697
0.4,0.2938775510204082,0.28244897959183674
0.4,0.3122448979591837,0.27510204081632655
0.4,0.3306122448979592,0.2677551020408164
0.4,0.3489795918367347,0.26040816326530614
0.4,0.3673469387755102,0.25306122448979596
0.4,0.38571428571428573,0.24571428571428575
0.4,0.40408163265306124,0.23836734693877554
0.4,0.42244897959183675,0.23102040816326533
0.4,0.4408163265306123,0.2236734693877551
0.4,0.4591836734693878,0.21632653061224488
0.4,0.47755102040816333,0.20897959183673467
0.4,0.49591836734693884,0.20163265306122446
0.4,0.5142857142857143,0.19428571428571428
0.4,0.5326530612244899,0.18693877551020407
0.4,0.5510204081632654,0.17959183673469387
0.4,0.5693877551020409,0.17224489795918366
0.4,0.5877551020408164,0.16489795918367345
0.4,0.6061224489795919,0.15755102040816327
0.4,0.6244897959183674,0.15020408163265306
0.4,0.6428571428571429,0.14285714285714285
0.4,0.6612244897959184,0.13551020408163264
0.4,0.6795918367346939,0.12816326530612243
0.4,0.6979591836734694,0.12081632653061224
0.4,0.7163265306122449,0.11346938775510203
0.4,0.7346938775510204,0.10612244897959183
0.4,0.753061224489796,0.09877551020408162
0.4,0.7714285714285715,0.09142857142857141
0.4,0.789795918367347,0.08408163265306122
0.4,0.8081632653061225,0.07673469387755101
0.4,0.826530612244898,0.0693877551020408
0.4,0.8448979591836735,0.06204081632653061
0.4,0.863265306122449,0.0546938775510204
0.4,0.8816326530612246,0.047346938775510154
0.4,0.9,0.039999999999999994
0.6,0.0,0.6
0.6,0.018367346938775512,0.5889795918367347
0.6,0.036734693877551024,0.5779591836734693
0.6,0.05510204081632654,0.5669387755102041
0.6,0.07346938775510205,0.5559183673469388
0.6,0.09183673469387756,0.5448979591836735
0.6,0.11020408163265308,0.5338775510204081
0.6,0.1285714285714286,0.5228571428571428
0.6,0.1469387755102041,0.5118367346938776
0.6,0.1653061224489796,0.5008163265306123
0.6,0.1836734693877551,0.4897959183673469
0.6,0.20204081632653062,0.4787755102040816
0.6,0.22040816326530616,0.46775510204081633
0.6,0.23877551020408166,0.456734693877551
0.6,0.2571428571428572,0.44571428571428573
0.6,0.2755102040816327,0.4346938775510204
0.6,0.2938775510204082,0.42367346938775513
0.6,0.3122448979591837,0.4126530612244898
0.6,0.3306122448979592,0.4016326530612245
0.6,0.3489795918367347,0.3906122448979592
0.6,0.3673469387755102,0.3795918367346939
0.6,0.38571428571428573,0.3685714285714286
0.6,0.40408163265306124,0.3575510204081633
0.6,0.42244897959183675,0.34653061224489795
0.6,0.4408163265306123,0.3355102040816326
0.6,0.4591836734693878,0.3244897959183673
0.6,0.47755102040816333,0.31346938775510197
0.6,0.49591836734693884,0.3024489795918367
0.6,0.5142857142857143,0.29142857142857137
0.6,0.5326530612244899,0.2804081632653061
0.6,0.5510204081632654,0.26938775510204077
0.6,0.5693877551020409,0.25836734693877544
0.6,0.5877551020408164,0.24734693877551017
0.6,0.6061224489795919,0.23632653061224485
0.6,0.6244897959183674,0.22530612244897955
0.6,0.6428571428571429,0.21428571428571425
0.6,0.6612244897959184,0.20326530612244895
0.6,0.6795918367346939,0.19224489795918365
0.6,0.6979591836734694,0.18122448979591835
0.6,0.7163265306122449,0.17020408163265302
0.6,0.7346938775510204,0.15918367346938772
0.6,0.753061224489796,0.14816326530612242
0.6,0.7714285714285715,0.13714285714285712
0.6,0.789795918367347,0.12612244897959182
0.6,0.8081632653061225,0.11510204081632651
0.6,0.826530612244898,0.10408163265306121
0.6,0.8448979591836735,0.0930612244897959
0.6,0.863265306122449,0.0820408163265306
0.6,0.8816326530612246,0.07102040816326523
0.6,0.9,0.059999999999999984
0.8,0.0,0.8
0.8,0.018367346938775512,0.7853061224489797
